match_id,seat_zone,opponent_tier,ea_opponent_strength,team_position,weekday_match,top_player_injured,league_winner_known,holidays,weather_forecast,competing_city_events,days_until_match,flights_to_barcelona_index,google_trends_index,internal_search_trends,web_visits,web_conversion_rate,social_media_sentiment,zone_historical_sales,zone_seats_availability,ticket_availability_pct,competitor_avg_price,ticket_price
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,90,20,20,100,5000,0.005,0.0,0,15000,1.0,47.8,58.02
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,90,20,20,100,5000,0.005,0.0,0,15000,1.0,53.78,54.89
100,Lateral,A,88,1,True,False,False,False,Sunny,False,90,20,20,100,5000,0.005,0.0,0,30000,1.0,184.65,159.54
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,90,20,20,100,5000,0.005,0.0,0,25000,1.0,240.37,284.64
100,VIP,A,88,1,True,False,False,False,Sunny,False,90,20,20,100,5000,0.005,0.0,0,4000,1.0,595.01,552.05
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,89,20,20,100,5000,0.005,0.003,19,14981,0.9987,47.09,57.71
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,89,20,20,100,5000,0.005,0.003,16,14984,0.9989,53.16,52.12
100,Lateral,A,88,1,True,False,False,False,Sunny,False,89,20,20,100,5000,0.005,0.003,30,29970,0.999,180.0,166.43
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,89,20,20,100,5000,0.005,0.003,26,24974,0.999,257.17,246.13
100,VIP,A,88,1,True,False,False,False,Sunny,False,89,20,20,100,5000,0.005,0.003,2,3998,0.9995,607.36,564.03
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,88,20,20,100,5000,0.005,-0.0029,52,14948,0.9965,65.88,59.17
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,88,20,20,100,5000,0.005,-0.0029,49,14951,0.9967,45.07,50.3
100,Lateral,A,88,1,True,False,False,False,Sunny,False,88,20,20,100,5000,0.005,-0.0029,79,29921,0.9974,144.55,174.96
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,88,20,20,100,5000,0.005,-0.0029,56,24944,0.9978,272.29,246.8
100,VIP,A,88,1,True,False,False,False,Sunny,False,88,20,20,100,5000,0.005,-0.0029,4,3996,0.999,625.33,574.8
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,87,20,20,101,5000,0.005,0.01,82,14918,0.9945,41.09,49.5
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,87,20,20,101,5000,0.005,0.01,86,14914,0.9943,63.96,56.38
100,Lateral,A,88,1,True,False,False,False,Sunny,False,87,20,20,101,5000,0.005,0.01,117,29883,0.9961,156.46,165.37
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,87,20,20,101,5000,0.005,0.01,104,24896,0.9958,237.94,290.7
100,VIP,A,88,1,True,False,False,False,Sunny,False,87,20,20,101,5000,0.005,0.01,17,3983,0.9958,455.81,548.62
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,86,20,20,100,5000,0.005,-0.0043,113,14887,0.9925,51.99,59.48
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,86,20,20,100,5000,0.005,-0.0043,140,14860,0.9907,58.81,53.62
100,Lateral,A,88,1,True,False,False,False,Sunny,False,86,20,20,100,5000,0.005,-0.0043,161,29839,0.9946,179.49,164.12
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,86,20,20,100,5000,0.005,-0.0043,153,24847,0.9939,201.91,240.18
100,VIP,A,88,1,True,False,False,False,Sunny,False,86,20,20,100,5000,0.005,-0.0043,32,3968,0.992,456.15,543.47
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,85,20,20,103,5000,0.0072,0.0311,154,14846,0.9897,63.05,59.15
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,85,20,20,103,5000,0.0072,0.0311,184,14816,0.9877,62.95,55.8
100,Lateral,A,88,1,True,False,False,False,Sunny,False,85,20,20,103,5000,0.0072,0.0311,242,29758,0.9919,156.64,169.34
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,85,20,20,103,5000,0.0072,0.0311,197,24803,0.9921,246.4,304.66
100,VIP,A,88,1,True,False,False,False,Sunny,False,85,20,20,103,5000,0.0072,0.0311,45,3955,0.9888,564.04,615.45
100,Gol Nord,A,88,1,True,False,False,False,Sunny,False,84,20,20,128,5000,0.005,-0.0612,205,14795,0.9863,62.96,57.74
100,Gol Sud,A,88,1,True,False,False,False,Sunny,False,84,20,20,128,5000,0.005,-0.0612,233,14767,0.9845,49.61,55.97
100,Lateral,A,88,1,True,False,False,False,Sunny,False,84,20,20,128,5000,0.005,-0.0612,297,29703,0.9901,181.78,160.63
100,Tribuna,A,88,1,True,False,False,False,Sunny,False,84,20,20,128,5000,0.005,-0.0612,242,24758,0.9903,251.62,278.52
100,VIP,A,88,1,True,False,False,False,Sunny,False,84,20,20,128,5000,0.005,-0.0612,61,3939,0.9848,443.26,533.58
